Top 20 country Report - confirmed
  Extract downloaded: 2020-03-28 23:52:07.373306 UTC
  Data last data point date: 3/27/20
    Country/Region  3/21/20  3/22/20  3/23/20  3/24/20  3/25/20  3/26/20  3/27/20  Yesterday   Total  DayIncrease  %DayIncrease
0           Global   304396   336953   378235   418045   467653   529591   593291     529591  593291        63700          12.0
1               US    25489    33276    43847    53740    65778    83836   101657      83836  101657        17821          21.3
2            Italy    53578    59138    63927    69176    74386    80589    86498      80589   86498         5909           7.3
3            China    81305    81435    81498    81591    81661    81782    81897      81782   81897          115           0.1
4            Spain    25374    28768    35136    39885    49515    57786    65719      57786   65719         7933          13.7
5          Germany    22213    24873    29056    32986    37323    43938    50871      43938   50871         6933          15.8
6           France    14463    16243    20123    22622    25600    29551    33402      29551   33402         3851          13.0
7             Iran    20610    21638    23049    24811    27017    29406    32332      29406   32332         2926          10.0
8   United Kingdom     5067     5745     6726     8164     9640    11812    14745      11812   14745         2933          24.8
9      Switzerland     6575     7474     8795     9877    10897    11811    12928      11811   12928         1117           9.5
10    Korea, South     8799     8961     8961     9037     9137     9241     9332       9241    9332           91           1.0
11     Netherlands     3640     4217     4764     5580     6438     7468     8647       7468    8647         1179          15.8
12         Austria     2814     3582     4474     5283     5588     6909     7657       6909    7657          748          10.8
13         Belgium     2815     3401     3743     4269     4937     6235     7284       6235    7284         1049          16.8
14          Turkey      670     1236     1529     1872     2433     3629     5698       3629    5698         2069          57.0
15          Canada     1277     1469     2088     2790     3251     4042     4682       4042    4682          640          15.8
16        Portugal     1280     1600     2060     2362     2995     3544     4268       3544    4268          724          20.4
17          Norway     2118     2385     2621     2863     3084     3369     3755       3369    3755          386          11.5
18          Brazil     1021     1546     1924     2247     2554     2985     3417       2985    3417          432          14.5
19       Australia     1071     1549     1682     2044     2364     2810     3143       2810    3143          333          11.9

