
Top 35 country Report - confirmed
  Top 35 regions by Cases, threshold = 1000 Confirmed cases
  Extract downloaded: 2022-09-27 18:30:01.810513 UTC
  Data last data point date: 9/26/22
         Country/Region  1/22/20    9/22/22    9/23/22    9/24/22    9/25/22    9/26/22  DayIncrease  %DayIncrease  DaysToDouble
0                Rwanda        0     132521     132521     132521     132521     132495          -26          -0.0 -42393.947928
1                Taiwan        1    6132794    6172769    6211093    6250051    6278794        28743           0.5    108.402021
2                 Japan        2   20910518   20974356   21013547   21060267   21103798        43531           0.2    259.833222
3           Saint Lucia        0      28959      28959      28959      29408      29408            0           0.0    269.617983
4                Russia        0   20343828   20396766   20447507   20493730   20533598        39868           0.2    281.787820
5                 China      548    2716077    2722353    2728374    2733103    2737936         4833           0.2    317.998027
6               Ukraine        0    5394128    5431208    5431736    5432271    5432591          320           0.0    389.400698
7               Georgia        0    1780691    1780691    1780691    1780691    1780691            0           0.0    399.244272
8              Slovenia        0    1166064    1168036    1170202    1170936    1171695          759           0.1    442.129614
9               Austria        0    5050233    5058191    5066790    5073706    5079700         5994           0.1    448.215871
10                Qatar        0     445027     445749     446277     446277     447133          856           0.2    515.722455
11               Cyprus        0     582381     585313     585313     585313     585313            0           0.0    552.102389
12              Finland        0    1287044    1287044    1287044    1287044    1287044            0           0.0    557.871310
13            Singapore        0    1884859    1887202    1889544    1891341    1892947         1606           0.1    584.439244
14                Korea        1   24565021   24594336   24620128   24634296   24673663        39367           0.2    630.934522
15               Latvia        0     920545     921974     921974     921974     924651         2677           0.3    660.409991
16              Germany        0   32905086   32952050   32952050   32952050   33041332        89282           0.3    704.294024
17                Italy        0   22241369   22262452   22284812   22303606   22313612        10006           0.0    758.336374
18               Serbia        0    2343470    2345665    2347506    2349040    2351526         2486           0.1    796.253823
19                Chile        0    4594519    4599179    4603514    4607566    4610353         2787           0.1    797.636031
20            Lithuania        0    1241497    1242730    1243951    1244080    1244174           94           0.0    825.582441
21          Afghanistan        0     198023     198163     198244     198416     198543          127           0.1    923.642791
22  Antigua and Barbuda        0       9008       9008       9008       9008       9089           81           0.9    926.403351
23                 Togo        0      38864      38901      38925      38963      38987           24           0.1    943.354446
24               France        0   35267124   35304648   35304648   35304648   35381526        76878           0.2    963.126606
25            Australia        0   10199774   10201791   10201791   10204195   10205957         1762           0.0    996.441957
26                Palau        0       5445       5445       5460       5460       5460            0           0.0   1007.835365
27               Global      557  614085356  614600242  614862538  615084276  615548946       464670           0.1   1025.931073
28          Philippines        0    3929819    3932155    3934778    3938203    3940201         1998           0.1   1058.000983
29            Guatemala        0    1118292    1119277    1119984    1120141    1120199           58           0.0   1079.197249
30               Canada        0    4259383    4262446    4263179    4263800    4264425          625           0.0   1168.120246
31               Poland        0    6263616    6268049    6272576    6273317    6274048          731           0.0   1168.488640
32               Monaco        0      14532      14541      14554      14554      14572           18           0.1   1209.679930
33           Micronesia        0      10057      10057      10057      10057      10083           26           0.3   1229.846444
34                Burma        0     620444     620744     621124     621402     621686          284           0.0   1239.000318

   Data from the 9/26/22 extract at https://github.com/CSSEGISandData/COVID-19, Credit: Johns Hopkins University
   Analytics: https://github.com/natalyalangford/COVID19_plots

