Top 20 state Report - confirmed
  Extract downloaded: 2020-03-28 00:07:03.279660 UTC
  Data last data point date: 3/27/20
   State  3/21/20  3/22/20  ...  Total  DayIncrease  %DayIncrease
0     NY    12208    15832  ...  38976         8163          26.5
1     NJ     1327     1914  ...   6331         1929          43.8
2     CA     1524     1826  ...   4043          867          27.3
3     WA     1790     1996  ...   3207          626          24.3
4     MI      787     1035  ...   2856          562          24.5
5     IL      752     1049  ...   2540          676          36.3
6     FL      762     1005  ...   2456          480          24.3
7     MA      525      646  ...   2417          579          31.5
8     LA      762      837  ...   2305          510          28.4
9     PA      371      478  ...   1687          492          41.2
10    GA      555      620  ...   1636          261          19.0
11    TX      338      365  ...   1564          364          30.3
12    CO      475      591  ...   1429          343          31.6
13    CT      223      327  ...   1012          137          15.7
14    IN      125      201  ...    962          485         101.7
15    TN      368      499  ...    957          176          22.5
16    OH      247      351  ...    867          164          23.3
17    WI      281      381  ...    707          123          21.1
18    NC      184      255  ...    636          141          28.5
19    MD      190      244  ...    580          157          37.1

