
Top 60 state Report - confirmed
  Top 60 regions by Cases, threshold = None Confirmed cases
  Extract downloaded: 2022-01-12 00:51:02.225756 UTC
  Data last data point date: 1/10/22
   State  1/23/20   1/4/22   1/5/22   1/6/22   1/7/22   1/8/22   1/9/22  1/10/22  DayIncrease  %DayIncrease  DaysToDouble
0     CA        0  5768815  5808171  5894761  6003152  6037516  6085177  6313572       228395           3.8     51.597897
1     TX        0  4804721  4851987  4897362  4949933  4999623  5039605  5087686        48081           1.0     71.819677
2     FL        0  4360178  4360178  4486276  4606489  4633077  4633077  4759073       125996           2.7     46.103383
3     NY        0  3736399  3812399  3890666  3975745  4057133  4147154  4205019        57865           1.4     34.070686
4     IL        0  2263166  2295445  2339534  2382437  2382437  2382437  2460270        77833           3.3     59.864210
5     PA        0  2122986  2150286  2179312  2206899  2240549  2265232  2295089        29857           1.3     52.741019
6     OH        0  2093074  2112824  2132266  2151829  2170139  2189228  2207270        18042           0.8     78.293643
7     GA        0  1904918  1928942  1928942  1928942  1928942  1928942  2025262        96320           5.0    134.149915
8     MI        0  1775882  1808738  1808738  1855658  1855658  1855658  1904949        49291           2.7     68.461253
9     NC        0  1742844  1763614  1787906  1816380  1816380  1816380  1887560        71180           3.9     66.341029
10    NJ        0  1674453  1711738  1744002  1782463  1815163  1843677  1866735        23058           1.3     37.344263
11    AZ        0  1411813  1419562  1430241  1445129  1461633  1477483  1491420        13937           0.9     71.325860
12    TN        0  1462996  1462996  1462996  1462996  1462996  1462996  1462996            0           0.0           NaN
13    IN        0  1286590  1299480  1314688  1329423  1329423  1329423  1366754        37331           2.8     88.010099
14    MA        0  1192549  1223354  1250765  1279928  1279928  1279928  1344643        64715           5.1     44.117095
15    VA        0  1176159  1186887  1202727  1221036  1221036  1221036  1278739        57703           4.7     65.144195
16    WI        0  1142290  1156050  1170504  1186066  1186066  1186066  1219470        33404           2.8     79.724907
17    MO        0  1047653  1060113  1072775  1085500  1099159  1106833  1114094         7261           0.7     64.569839
18    SC        0  1011271  1018435  1035256  1048252  1048252  1048252  1094226        45974           4.4     68.944899
19    MN        0  1045170  1049310  1056236  1064065  1064065  1064065  1075028        10963           1.0    167.959645
20    CO        0   962777   971525   979437   989409   989409   989409  1040510        51101           5.2     77.887933
21    AL        0   921175   932250   944876   957848   966180   978632   984882         6250           0.6     60.424027
22    WA        1   888336   899036   913980   931071   931071   931071   978680        47609           5.1     55.076091
23    LA        0   869146   879549   893626   908428   908428   908428   937447        29019           3.2     66.798553
24    KY        0   885673   895370   904916   915881   915881   915881   932552        16671           1.8     96.422209
25    MD        0   765944   776230   788965   800743   813688   830940   840623         9683           1.2     43.310417
26    OK        0   720961   724875   731155   737593   737593   737593   764651        27058           3.7     97.422438
27    UT        0   656407   663654   672567   682036   682036   682036   706183        24147           3.5     72.547778
28    AR        0   581134   588622   596409   604843   613014   613014   622069         9055           1.5     61.143053
29    IA        0   587386   592028   596296   596296   608000   608000   608000            0           0.0    103.333160
30    CT        0   544468   554812   563635   573711   573711   573711   605116        31405           5.5     52.818320
31    MS        0   566102   572694   579773   586547   586547   586547   586547            0           0.0    117.393815
32    KS        0   535051   550176   550220   566192   566192   566192   579682        13490           2.4     60.557145
33    NV        0   499613   502392   504729   509472   509472   509472   525511        16039           3.1    112.129334
34    OR        0   435453   441648   449267   459700   459700   459700   478203        18503           4.0     52.998732
35    NM        0   359116   361629   364861   369113   369113   369113   378363         9250           2.5     98.527872
36    NE        0   346860   349523   353056   355928   360321   360321   363641         3320           0.9     84.884164
37    PR        0   305419   313182   327742   340541   347158   355697   362577         6880           1.9     23.391343
38    WV        0   339679   342607   347554   351688   355872   357980   360269         2289           0.6     65.858462
39    ID        0   322524   323965   325730   327065   327451   327451   328946         1495           0.5    233.180214
40    RI        0   247324   253192   260110   266066   266066   266066   279831        13765           5.2     42.450798
41    NH        0   204897   208073   211952   214572   214572   214572   223599         9027           4.2     63.654786
42    DE        0   191649   192968   195600   198507   202236   205640   208340         2700           1.3     46.059826
43    MT        0   199455   200558   201720   202863   202863   202863   204788         1925           0.9    191.379318
44    SD        0   183030   185284   187467   189411   189411   189411   191094         1683           0.9    110.397268
45    ND        0   176329   177812   179161   180646   181576   182538   183013          475           0.3    108.333518
46    AK        0   160089   161678   161678   165353   165353   165353   168618         3265           2.0     85.791836
47    ME        0   148217   149543   150845   152173   153376   153376   153376            0           0.0    109.320829
48    HI        0   123456   126067   130856   134442   138646   143224   147099         3875           2.7     23.063290
49    WY        0   117389   118098   119093   119857   119857   119857   121519         1662           1.4    149.150601
50    DC        0   105493   106819   106819   108112   110040   110040   116278         6238           5.7     52.736487
51    VT        0    68957    69762    71942    73802    76421    76673    76673            0           0.0     31.936547
52    GU        0    19899    20088    20351    20594    20688    20809    21118          309           1.5     74.848293
53    VI        0    10714    11160    11833    12138    12541    12541    12605           64           0.5     24.841831
54    MP        0     3392     3453     3518     3561     3598     3598     3665           67           1.9     59.070906
55    AS        0       10       10       10       10       10       10       10            0           0.0           NaN

   Data from the 1/10/22 extract at https://github.com/CSSEGISandData/COVID-19, Credit: Johns Hopkins University
   Analytics: https://github.com/natalyalangford/COVID19_plots

