Top 20 country Report - deaths
  Extract downloaded: 2020-03-29 01:19:45.313063 UTC
  Data last data point date: 3/28/20
    Country/Region  3/22/20  3/23/20  3/24/20  3/25/20  3/26/20  3/27/20  3/28/20  Yesterday  Total  DayIncrease  %DayIncrease
0           Global    14651    16505    18625    21181    23970    27198    30652      27198  30652         3454          12.7
1            Italy     5476     6077     6820     7503     8215     9134    10023       9134  10023          889           9.7
2            Spain     1772     2311     2808     3647     4365     5138     5982       5138   5982          844          16.4
3            China     3274     3274     3281     3285     3291     3296     3299       3296   3299            3           0.1
4             Iran     1685     1812     1934     2077     2234     2378     2517       2378   2517          139           5.8
5           France      676      862     1102     1333     1698     1997     2317       1997   2317          320          16.0
6               US      417      557      706      942     1209     1581     2026       1581   2026          445          28.1
7   United Kingdom      282      336      423      466      580      761     1021        761   1021          260          34.2
8      Netherlands      180      214      277      357      435      547      640        547    640           93          17.0
9          Germany       94      123      157      206      267      342      433        342    433           91          26.6
10         Belgium       75       88      122      178      220      289      353        289    353           64          22.1
11     Switzerland       98      120      122      153      191      231      264        231    264           33          14.3
12    Korea, South      111      111      120      126      131      139      144        139    144            5           3.6
13          Brazil       25       34       46       59       77       92      111         92    111           19          20.7
14          Turkey       30       37       44       59       75       92      108         92    108           16          17.4
15          Sweden       21       25       36       62       77      105      105        105    105            0           0.0
16       Indonesia       48       49       55       58       78       87      102         87    102           15          17.2
17        Portugal       14       23       33       43       60       76      100         76    100           24          31.6
18         Austria       16       21       28       30       49       58       68         58     68           10          17.2
19     Philippines       25       33       35       38       45       54       68         54     68           14          25.9

