Top 20 state Report - deaths
  Extract downloaded: 2020-03-28 00:07:03.279660 UTC
  Data last data point date: 3/27/20
   State  3/21/20  3/22/20  ...  Total  DayIncrease  %DayIncrease
0     NY       57      116  ...    436          101          30.1
1     WA       94       95  ...    147           15          11.4
2     CA       29       33  ...     83           16          23.9
3     LA       20       20  ...     83           18          27.7
4     NJ       16       24  ...     80           18          29.0
5     MI        5        7  ...     60           17          39.5
6     GA       20       20  ...     56            9          19.1
7     FL       10       13  ...     30            5          20.0
8     IL        6        8  ...     26            8          44.4
9     MA        2        5  ...     25           10          66.7
10    CO        6        7  ...     24            5          26.3
11    TX        5        5  ...     22            7          46.7
12    CT        5        8  ...     21            2          10.5
13    OH        3        3  ...     16            6          60.0
14    PA        2        2  ...     16            5          45.5
15    IN        4        6  ...     15            1           7.1
16    OR        4        4  ...     11            1          10.0
17    NV        2        2  ...     10            0           0.0
18    SC        3        3  ...      9            2          28.6
19    VA        3        6  ...      9            0           0.0

